"","word","catnum","catname","syl","letters","freq","frequency","rank","rfreq"
"1","diamond","1","precious stone",2,7,435,8,1,1.52
"2","ruby","1","precious stone",2,4,419,0,2,2.25
"3","emerald","1","precious stone",2,7,329,4,3,3.24
"4","sapphire","1","precious stone",3,8,245,0,4,3.87
"5","pearl","1","precious stone",1,5,177,6,5,3.95
"6","opal","1","precious stone",2,4,100,0,6,4.73
"7","jade","1","precious stone",1,4,84,1,7,4.44
"8","topaz","1","precious stone",2,5,72,0,8,4.73
"9","amethyst","1","precious stone",3,8,62,0,9,4.76
"10","onyx","1","precious stone",2,4,59,0,10,5.22
"11","garnet","1","precious stone",2,6,44,1,11,4.74
"12","turquoise","1","precious stone",2,9,33,3,12,5.37
"13","gem","1","precious stone",1,3,30,3,13,2.75
"14","aquamarine","1","precious stone",4,10,27,0,14,5
"15","gold","1","precious stone",1,4,23,52,15,4
"16","silver","1","precious stone",2,6,16,29,16,4.45
"17","zircon","1","precious stone",2,6,14,0,17,5.25
"18","quartz","1","precious stone",1,6,12,1,18,3.33
"19","moonstone","1","precious stone",2,9,6,NA,19,NA
"20","star sapphire","1","precious stone",3,12,6,NA,20,NA
"21","crystal","1","precious stone",2,7,5,NA,21,NA
"22","alexandrite","1","precious stone",4,11,4,NA,22,NA
"23","cameo","1","precious stone",3,5,4,NA,23,NA
"24","jewel","1","precious stone",2,5,4,NA,24,NA
"25","bloodstone","1","precious stone",2,10,3,NA,25,NA
"26","platinum","1","precious stone",3,8,3,NA,26,NA
"27","uranium","1","precious stone",4,7,3,NA,27,NA
"28","amherst","1","precious stone",2,7,2,NA,28,NA
"29","black pearl","1","precious stone",2,10,2,NA,29,NA
"30","coral ebony","1","precious stone",5,10,2,NA,30,NA
"31","granite","1","precious stone",2,7,2,NA,31,NA
"32","lapis lazuli","1","precious stone",5,11,2,NA,32,NA
"33","marble","1","precious stone",2,6,2,NA,33,NA
"34","peridot","1","precious stone",3,7,2,NA,34,NA
"35","rhinestone","1","precious stone",2,10,2,NA,35,NA
"36","hour","2","unit of time",1,4,433,144,1,2.6
"37","minute","2","unit of time",2,6,430,53,2,1.92
"38","second","2","unit of time",2,6,426,373,3,2.14
"39","year","2","unit of time",1,4,424,660,4,5.93
"40","day","2","unit of time",1,3,404,686,5,4.07
"41","century","2","unit of time",3,7,359,207,6,7.93
"42","month","2","unit of time",1,5,325,130,7,5.98
"43","decade","2","unit of time",2,6,319,46,8,7.62
"44","week","2","unit of time",1,4,280,275,9,5.41
"45","millisecond","2","unit of time",4,11,49,0,10,7.36
"46","eon","2","unit of time",2,3,48,0,11,8.29
"47","era","2","unit of time",2,3,46,30,12,8.39
"48","score","2","unit of time",1,5,46,66,13,8.48
"49","millenium","2","unit of time",4,9,38,4,14,8.87
"50","fortnight","2","unit of time",2,9,24,1,15,7.53
"51","half hour","2","unit of time",2,8,23,8,16,6
"52","age","2","unit of time",1,3,20,227,17,9.62
"53","microsecond","2","unit of time",4,12,20,4,18,7.5
"54","light-year","2","unit of time",2,10,18,1,19,7.82
"55","eternity","2","unit of time",4,8,13,6,20,8.33
"56","generation","2","unit of time",4,10,11,55,21,9.33
"57","epoch","2","unit of time",2,5,10,6,22,8.4
"58","period","2","unit of time",3,6,8,NA,23,NA
"59","night","2","unit of time",1,5,6,NA,24,NA
"60","infinity","2","unit of time",4,8,5,NA,25,NA
"61","a.d.","2","unit of time",2,4,4,NA,26,NA
"62","afternoon","2","unit of time",3,9,4,NA,27,NA
"63","b.c.","2","unit of time",2,4,4,NA,28,NA
"64","degree","2","unit of time",2,6,4,NA,29,NA
"65","lifetime","2","unit of time",2,8,4,NA,30,NA
"66","moment","2","unit of time",2,6,4,NA,31,NA
"67","quarter hour","2","unit of time",3,11,4,NA,32,NA
"68","semester","2","unit of time",3,8,4,NA,33,NA
"69","centennial","2","unit of time",4,10,3,NA,34,NA
"70","clock","2","unit of time",1,5,3,NA,35,NA
"71","moon","2","unit of time",1,4,3,NA,36,NA
"72","one-tenth second","2","unit of time",4,15,3,NA,37,NA
"73","biennium","2","unit of time",4,8,2,NA,38,NA
"74","evening","2","unit of time",2,7,2,NA,39,NA
"75","half minute","2","unit of time",2,10,2,NA,40,NA
"76","split second","2","unit of time",3,11,2,NA,41,NA
"77","ten minutes","2","unit of time",3,10,2,NA,42,NA
"78","twenty-four hours","2","unit of time",5,16,2,NA,43,NA
"79","aunt","3","relative",1,4,432,22,1,2.8
"80","uncle","3","relative",2,5,427,57,2,3.55
"81","father","3","relative",2,6,373,183,3,3.92
"82","mother","3","relative",2,6,370,216,4,3.44
"83","brother","3","relative",2,7,354,73,5,5.09
"84","sister","3","relative",2,6,351,38,6,5.08
"85","cousin","3","relative",2,6,340,51,7,5.83
"86","grandmother","3","relative",3,11,314,9,8,6.79
"87","grandfather","3","relative",3,11,304,12,9,7.15
"88","nephew","3","relative",2,6,143,9,10,7.44
"89","niece","3","relative",1,5,138,8,11,7.02
"90","husband","3","relative",2,7,46,131,12,7.37
"91","son","3","relative",1,3,43,166,13,7.81
"92","daughter","3","relative",2,8,41,72,14,8.58
"93","mother-in-law","3","relative",4,11,41,1,15,7.43
"94","brother-in-law","3","relative",4,12,38,5,16,7.33
"95","wife","3","relative",1,4,37,228,17,4.43
"96","great-aunt","3","relative",2,9,34,0,18,8.96
"97","sister-in-law","3","relative",4,11,33,2,19,7.61
"98","father-in-law","3","relative",4,11,27,0,20,8.63
"99","grandparents","3","relative",3,12,21,3,21,6.9
"100","second cousin","3","relative",4,12,17,0,22,6.31
"101","grandmom","3","relative",2,7,17,13,23,6.93
"102","great-uncle","3","relative",3,10,16,0,24,8.64
"103","grandpop","3","relative",2,7,14,0,25,6.92
"104","great-grandfather","3","relative",4,16,12,2,26,9.71
"105","great-grandmother","3","relative",4,16,11,1,27,7.4
"106","in-laws","3","relative",2,16,11,0,28,7.86
"107","dad","3","relative",1,3,9,NA,29,NA
"108","mom","3","relative",1,3,9,NA,30,NA
"109","children","3","relative",2,8,8,NA,31,NA
"110","grandson","3","relative",2,8,7,NA,32,NA
"111","granddaughter","3","relative",3,13,6,NA,33,NA
"112","parents","3","relative",2,7,5,NA,34,NA
"113","stepfather","3","relative",3,10,5,NA,35,NA
"114","stepsister","3","relative",3,10,4,NA,36,NA
"115","first cousin","3","relative",3,11,3,NA,37,NA
"116","godmother","3","relative",3,9,3,NA,38,NA
"117","godparents","3","relative",3,10,3,NA,39,NA
"118","half brother","3","relative",3,11,3,NA,40,NA
"119","half sister","3","relative",3,10,3,NA,41,NA
"120","stepbrother","3","relative",3,11,3,NA,42,NA
"121","stepmother","3","relative",3,10,3,NA,43,NA
"122","stepson","3","relative",2,7,3,NA,44,NA
"123","great-grandparents","3","relative",4,18,2,NA,45,NA
"124","son-in-law","3","relative",3,10,2,NA,46,NA
"125","mile","4","unit of distance",1,4,438,48,1,2.84
"126","foot","4","unit of distance",1,4,417,70,2,2.54
"127","inch","4","unit of distance",1,4,411,40,3,2.48
"128","yard","4","unit of distance",1,4,362,35,4,4.05
"129","meter","4","unit of distance",2,5,314,6,5,4.94
"130","centimeter","4","unit of distance",4,10,257,2,6,5.11
"131","kilometer","4","unit of distance",4,9,216,8,7,6.16
"132","millimeter","4","unit of distance",4,10,183,3,8,5.81
"133","rod","4","unit of distance",1,3,132,18,9,5.2
"134","light-year","4","unit of distance",2,9,55,1,10,6.09
"135","decimeter","4","unit of distance",4,9,45,0,11,7.32
"136","block","4","unit of distance",1,5,30,66,12,4.14
"137","league","4","unit of distance",1,6,28,69,13,6.22
"138","acre","4","unit of distance",2,4,26,9,14,5.68
"139","fathom","4","unit of distance",2,6,26,3,15,6.23
"140","knot","4","unit of distance",1,4,24,8,16,6.09
"141","furlong","4","unit of distance",2,8,22,1,17,5.8
"142","angstrom unit","4","unit of distance",4,12,11,0,18,7.14
"143","micron","4","unit of distance",2,7,10,5,19,5.5
"144","parsec","4","unit of distance",2,6,6,NA,20,NA
"145","chain","4","unit of distance",1,5,5,NA,21,NA
"146","cubit","4","unit of distance",2,5,5,NA,22,NA
"147","micrometer","4","unit of distance",4,10,4,NA,23,NA
"148","span","4","unit of distance",1,4,4,NA,24,NA
"149","degree","4","unit of distance",2,6,3,NA,25,NA
"150","half mile","4","unit of distance",2,8,3,NA,26,NA
"151","liter","4","unit of distance",2,5,3,NA,27,NA
"152","millimicron","4","unit of distance",4,11,3,NA,28,NA
"153","pace","4","unit of distance",1,4,3,NA,29,NA
"154","square","4","unit of distance",1,6,3,NA,30,NA
"155","square yard","4","unit of distance",2,10,3,NA,31,NA
"156","step","4","unit of distance",1,4,3,NA,32,NA
"157","half inch","4","unit of distance",2,8,2,NA,33,NA
"158","kilogram","4","unit of distance",3,8,2,NA,34,NA
"159","length","4","unit of distance",1,6,2,NA,35,NA
"160","measured in time","4","unit of distance",4,14,2,NA,36,NA
"161","milligram","4","unit of distance",3,9,2,NA,37,NA
"162","nautical mile","4","unit of distance",4,12,2,NA,38,NA
"163","quarter inch","4","unit of distance",3,11,2,NA,39,NA
"164","quarter mile","4","unit of distance",3,11,2,NA,40,NA
"165","square foot","4","unit of distance",2,10,2,NA,41,NA
"166","square inch","4","unit of distance",2,10,2,NA,42,NA
"167","square mile","4","unit of distance",2,10,2,NA,43,NA
"168","iron","5","metal",2,4,353,43,1,2.47
"169","copper","5","metal",2,6,309,13,2,3.56
"170","steel","5","metal",1,5,281,45,3,3.38
"171","gold","5","metal",1,4,270,52,4,3.68
"172","aluminum","5","metal",4,8,259,18,5,4.22
"173","silver","5","metal",2,6,253,29,6,4.22
"174","tin","5","metal",1,3,173,12,7,4.52
"175","zinc","5","metal",1,4,130,10,8,4.22
"176","brass","5","metal",1,5,97,19,9,4.67
"177","lead","5","metal",1,4,96,29,10,4.8
"178","bronze","5","metal",1,6,78,11,11,4.76
"179","magnesium","5","metal",4,9,75,0,12,5.02
"180","platinum","5","metal",3,8,75,4,13,5.34
"181","nickel","5","metal",4,7,68,6,14,4.72
"182","sodium","5","metal",2,8,41,4,15,4.85
"183","mercury","5","metal",2,6,30,2,16,5.75
"184","potassium","5","metal",4,8,30,2,17,4.86
"185","manganese","5","metal",2,6,24,7,18,5.88
"186","uranium","5","metal",3,6,24,12,19,5.62
"187","tungsten","5","metal",3,0,21,10,20,6.5
"188","cobalt","5","metal",4,9,18,5,21,6.92
"189","titanium","5","metal",3,8,18,0,22,6.75
"190","chromium","5","metal",3,8,14,4,23,5.5
"191","ore","5","metal",1,3,13,3,24,3.56
"192","cadmium","5","metal",3,7,11,2,25,5.13
"193","lithium","5","metal",3,7,10,0,26,4.5
"194","alloy","5","metal",2,5,6,NA,27,NA
"195","calcium","5","metal",3,7,6,NA,28,NA
"196","rubidium","5","metal",4,8,6,NA,29,NA
"197","beryllium","5","metal",4,9,5,NA,30,NA
"198","barium","5","metal",3,6,4,NA,31,NA
"199","chrome","5","metal",1,6,4,NA,32,NA
"200","francium","5","metal",3,8,4,NA,33,NA
"201","good conduct","5","metal",3,11,4,NA,34,NA
"202","molybdenum","5","metal",4,10,4,NA,35,NA
"203","pewter","5","metal",2,6,4,NA,36,NA
"204","bismuth","5","metal",2,7,3,NA,37,NA
"205","boron","5","metal",2,5,3,NA,38,NA
"206","cesium","5","metal",3,6,3,NA,39,NA
"207","radium","5","metal",3,6,3,NA,40,NA
"208","sulfur","5","metal",2,6,3,NA,41,NA
"209","antimony","5","metal",4,8,2,NA,42,NA
"210","argon","5","metal",2,5,2,NA,43,NA
"211","carbon","5","metal",2,6,2,NA,44,NA
"212","car","5","metal",1,3,2,NA,45,NA
"213","medal of honor","5","metal",5,12,2,NA,46,NA
"214","palladium","5","metal",4,9,2,NA,47,NA
"215","phosphorus","5","metal",3,10,2,NA,48,NA
"216","plutonium","5","metal",4,9,2,NA,49,NA
"217","purple heart","5","metal",3,11,2,NA,50,NA
"218","solder","5","metal",2,6,2,NA,51,NA
"219","zirconium","5","metal",4,9,2,NA,52,NA
"220","magazine","6","type of reading material",3,8,375,39,1,2.67
"221","book","6","type of reading material",1,4,370,193,2,1.19
"222","newspaper","6","type of reading material",3,9,295,65,3,3.31
"223","pamphlet","6","type of reading material",2,8,200,3,4,3.64
"224","novel","6","type of reading material",2,5,103,59,5,3.3
"225","textbook","6","type of reading material",2,8,75,4,6,4.14
"226","paper","6","type of reading material",2,5,61,157,7,3.8
"227","comic book","6","type of reading material",3,9,57,0,8,4.21
"228","short story","6","type of reading material",3,10,47,1,9,4.58
"229","journal","6","type of reading material",2,7,39,42,10,4.78
"230","article","6","type of reading material",3,7,36,68,11,4.58
"231","letter","6","type of reading material",2,6,35,145,12,4.05
"232","play","6","type of reading material",1,4,31,200,13,4.5
"233","encyclopedia","6","type of reading material",6,12,28,1,14,5.2
"234","essay","6","type of reading material",2,5,28,19,15,4.33
"235","peiodical","6","type of reading material",5,10,25,4,16,5.5
"236","poem","6","type of reading material",2,4,24,48,17,4.93
"237","leaflet","6","type of reading material",2,7,22,1,18,4.31
"238","fiction","6","type of reading material",2,7,20,46,19,3.67
"239","paperback","6","type of reading material",3,9,19,2,20,4.7
"240","poster","6","type of reading material",2,6,17,4,21,5
"241","bulletin","6","type of reading material",3,8,15,18,22,4
"242","bible","6","type of reading material",2,5,14,59,23,4.5
"243","poetry","6","type of reading material",3,6,14,88,24,4.13
"244","brochure","6","type of reading material",2,8,12,2,25,4.89
"245","dictionary","6","type of reading material",4,12,12,1,26,5.45
"246","note","6","type of reading material",1,4,12,127,27,4.67
"247","nonfiction","6","type of reading material",3,10,11,4,28,4.83
"248","biography","6","type of reading material",13,9,10,4,29,4.56
"249","booklet","6","type of reading material",2,7,10,1,30,4.78
"250","digest","6","type of reading material",2,6,10,3,31,6.75
"251","circular","6","type of reading material",3,8,9,NA,32,NA
"252","history","6","type of reading material",3,7,9,NA,33,NA
"253","report","6","type of reading material",2,6,9,NA,34,NA
"254","thesis","6","type of reading material",2,6,9,NA,35,NA
"255","manuscript","6","type of reading material",3,10,8,NA,36,NA
"256","sign","6","type of reading material",1,4,8,NA,37,NA
"257","billboard","6","type of reading material",2,9,7,NA,38,NA
"258","playboy","6","type of reading material",2,7,7,NA,39,NA
"259","reference","6","type of reading material",3,9,7,NA,40,NA
"260","science fiction","6","type of reading material",4,14,7,NA,41,NA
"261","card","6","type of reading material",1,4,6,NA,42,NA
"262","editorials","6","type of reading material",5,10,6,NA,43,NA
"263","folder","6","type of reading material",2,6,6,NA,44,NA
"264","scroll","6","type of reading material",1,6,6,NA,45,NA
"265","story","6","type of reading material",2,5,6,NA,46,NA
"266","theme","6","type of reading material",1,5,6,NA,47,NA
"267","mystery","6","type of reading material",3,7,5,NA,48,NA
"268","advertisement","6","type of reading material",4,13,4,NA,49,NA
"269","cartoon","6","type of reading material",2,7,4,NA,50,NA
"270","label","6","type of reading material",2,5,4,NA,51,NA
"271","literature","6","type of reading material",4,10,4,NA,52,NA
"272","look","6","type of reading material",1,4,4,NA,53,NA
"273","notebook","6","type of reading material",2,8,4,NA,54,NA
"274","novelette","6","type of reading material",3,9,4,NA,55,NA
"275","prose","6","type of reading material",1,5,4,NA,56,NA
"276","scientific literat","6","type of reading material",8,17,4,NA,57,NA
"277","sheet","6","type of reading material",1,5,4,NA,58,NA
"278","telephone director","6","type of reading material",7,17,4,NA,59,NA
"279","time","6","type of reading material",1,4,4,NA,60,NA
"280","autobiography","6","type of reading material",6,13,3,NA,61,NA
"281","catalogue","6","type of reading material",3,9,3,NA,62,NA
"282","drama","6","type of reading material",2,5,3,NA,63,NA
"283","flyer","6","type of reading material",2,5,3,NA,64,NA
"284","instructions","6","type of reading material",3,12,3,NA,65,NA
"285","pocketbook","6","type of reading material",3,10,3,NA,66,NA
"286","pornography","6","type of reading material",4,11,3,NA,67,NA
"287","term paper","6","type of reading material",3,9,3,NA,68,NA
"288","almanac","6","type of reading material",3,7,2,NA,69,NA
"289","cereal box","6","type of reading material",4,9,2,NA,70,NA
"290","chronicle","6","type of reading material",3,9,2,NA,71,NA
"291","classics","6","type of reading material",2,8,2,NA,72,NA
"292","comic strip","6","type of reading material",3,10,2,NA,73,NA
"293","composition","6","type of reading material",4,11,2,NA,74,NA
"294","cookbook","6","type of reading material",2,8,2,NA,75,NA
"295","dittoed sheet","6","type of reading material",3,12,2,NA,76,NA
"296","document","6","type of reading material",3,8,2,NA,77,NA
"297","handout","6","type of reading material",2,7,2,NA,78,NA
"298","jokes","6","type of reading material",1,5,2,NA,79,NA
"299","mad","6","type of reading material",1,3,2,NA,80,NA
"300","manual","6","type of reading material",3,6,2,NA,81,NA
"301","medical journal","6","type of reading material",5,14,2,NA,82,NA
"302","microfilm","6","type of reading material",3,9,2,NA,83,NA
"303","mimeographed sheet","6","type of reading material",5,17,2,NA,84,NA
"304","music","6","type of reading material",2,5,2,NA,85,NA
"305","news","6","type of reading material",1,4,2,NA,86,NA
"306","newsweek","6","type of reading material",2,8,2,NA,87,NA
"307","notice","6","type of reading material",2,6,2,NA,88,NA
"308","novella","6","type of reading material",3,7,2,NA,89,NA
"309","postcard","6","type of reading material",2,8,2,NA,90,NA
"310","program","6","type of reading material",2,7,2,NA,91,NA
"311","racing form","6","type of reading material",3,10,2,NA,92,NA
"312","review","6","type of reading material",2,6,2,NA,93,NA
"313","script","6","type of reading material",1,6,2,NA,94,NA
"314","stock report","6","type of reading material",3,11,2,NA,95,NA
"315","tract","6","type of reading material",1,5,2,NA,96,NA
"316","travelogue","6","type of reading material",3,10,2,NA,97,NA
"317","volume","6","type of reading material",2,6,2,NA,98,NA
"318","lieutenant","7","military title",3,9,362,29,1,3.83
"319","general","7","military title",3,7,339,497,2,3.54
"320","sergeant","7","military title",2,9,332,28,3,3.7
"321","private","7","military title",2,7,308,191,4,4.03
"322","captain","7","military title",2,7,295,85,5,3.31
"323","colonel","7","military title",2,7,249,37,6,3.21
"324","major","7","military title",2,5,243,247,7,3.98
"325","corporal","7","military title",3,8,169,4,8,4.54
"326","admiral","7","military title",3,8,146,1,9,5
"327","commander","7","military title",3,9,86,28,10,4.4
"328","ensign","7","military title",2,7,65,4,11,5.03
"329","lieutenant colonel","7","military title",5,16,40,1,12,5.16
"330","private first clas","7","military title",4,17,25,0,13,4
"331","brigadier general","7","military title",6,16,24,0,14,5.94
"332","second lieutenant","7","military title",5,15,24,0,15,5.45
"333","first lieutenant","7","military title",4,15,16,0,16,5.29
"334","major general","7","military title",5,12,15,0,17,6
"335","master sergeant","7","military title",4,14,13,0,18,6.46
"336","seaman","7","military title",2,6,13,7,19,7.67
"337","airman","7","military title",2,6,12,1,20,6.7
"338","commander in chief","7","military title",5,16,11,3,21,4.83
"339","sir","7","military title",1,3,11,95,22,4.8
"340","lieutenant general","7","military title",6,16,10,0,23,6.29
"341","boatswain","7","military title",2,9,9,NA,24,NA
"342","chief","7","military title",1,5,8,NA,25,NA
"343","lieutenant command","7","military title",6,17,8,NA,26,NA
"344","cadet","7","military title",2,5,7,NA,27,NA
"345","officer","7","military title",3,7,7,NA,28,NA
"346","commodore","7","military title",3,9,6,NA,29,NA
"347","staff sergeant","7","military title",3,13,6,NA,30,NA
"348","midshipman","7","military title",3,10,5,NA,31,NA
"349","military police","7","military title",5,14,5,NA,32,NA
"350","five-star general","7","military title",5,16,4,NA,33,NA
"351","lieutenant junior","7","military title",5,16,4,NA,34,NA
"352","marshal","7","military title",2,7,4,NA,35,NA
"353","petty officer","7","military title",5,12,4,NA,36,NA
"354","president","7","military title",3,9,4,NA,37,NA
"355","airman first class","7","military title",4,16,3,NA,38,NA
"356","boatswain's mate","7","military title",3,15,3,NA,39,NA
"357","buc' private","7","military title",3,11,3,NA,40,NA
"358","field marshal","7","military title",3,12,3,NA,41,NA
"359","airman second clas","7","military title",5,16,2,NA,42,NA
"360","airman third class","7","military title",4,16,2,NA,43,NA
"361","bottle","7","military title",2,6,2,NA,44,NA
"362","chief of staff","7","military title",3,12,2,NA,45,NA
"363","commandant","7","military title",3,10,2,NA,46,NA
"364","first sergeant","7","military title",3,13,2,NA,47,NA
"365","jar","7","military title",1,3,2,NA,48,NA
"366","lame corporal","7","military title",4,12,2,NA,49,NA
"367","mate","7","military title",1,4,2,NA,50,NA
"368","noncommisioned off","7","military title",7,17,2,NA,51,NA
"369","plebe","7","military title",1,6,2,NA,52,NA
"370","rear admiral","7","military title",4,11,2,NA,53,NA
"371","sailor","7","military title",2,6,2,NA,54,NA
"372","seaman first class","7","military title",4,16,2,NA,55,NA
"373","seaman second clas","7","military title",5,16,2,NA,56,NA
"374","specialist","7","military title",3,10,2,NA,57,NA
"375","technical sergeant","7","military title",5,18,2,NA,58,NA
"376","vice admiral","7","military title",4,11,2,NA,59,NA
"377","warrant officer","7","military title",5,14,2,NA,60,NA
"378","dog","8","four-footed animal",1,3,426,75,1,1.77
"379","cat","8","four-footed animal",1,3,412,23,2,2.74
"380","horse","8","four-footed animal",1,5,348,117,3,3.4
"381","cow","8","four-footed animal",1,3,284,29,4,4.14
"382","lion","8","four-footed animal",2,4,225,17,5,6.26
"383","tiger","8","four-footed animal",2,5,203,17,6,6.89
"384","elephant","8","four-footed animal",3,8,182,7,7,6.5
"385","pig","8","four-footed animal",1,3,142,8,8,5.41
"386","bear","8","four-footed animal",1,4,129,57,9,5.68
"387","mouse","8","four-footed animal",1,5,118,10,10,5.51
"388","rat","8","four-footed animal",1,3,112,6,11,5.43
"389","deer","8","four-footed animal",1,4,95,13,12,6.22
"390","sheep","8","four-footed animal",1,5,85,23,13,5.82
"391","giraffe","8","four-footed animal",2,7,82,0,14,7.18
"392","goat","8","four-footed animal",1,4,76,6,15,6.71
"393","zebra","8","four-footed animal",2,5,70,1,16,7.05
"394","squirrel","8","four-footed animal",2,8,56,1,17,6.69
"395","wolf","8","four-footed animal",1,4,55,6,18,6.46
"396","donkey","8","four-footed animal",2,6,48,1,19,6.52
"397","rabbit","8","four-footed animal",2,6,48,11,20,5.19
"398","leopard","8","four-footed animal",2,8,46,1,21,8.2
"399","mule","8","four-footed animal",1,4,46,4,22,5.75
"400","fox","8","four-footed animal",1,3,44,13,23,6.11
"401","bull","8","four-footed animal",1,4,40,14,24,6.64
"402","buffalo","8","four-footed animal",3,9,34,1,25,7.36
"403","moose","8","four-footed animal",1,5,33,0,26,7.84
"404","rhinoceros","8","four-footed animal",4,10,31,3,27,7.64
"405","camel","8","four-footed animal",2,5,28,1,28,7.39
"406","antelope","8","four-footed animal",3,8,27,7,29,9.07
"407","hippopotamus","8","four-footed animal",5,12,26,0,30,7.5
"408","lamb","8","four-footed animal",1,4,26,7,31,6.38
"409","monkey","8","four-footed animal",2,6,23,9,32,6.25
"410","raccoon","8","four-footed animal",2,7,23,1,33,6.38
"411","panther","8","four-footed animal",2,7,21,1,34,7.64
"412","llama","8","four-footed animal",2,5,17,0,35,8.71
"413","skunk","8","four-footed animal",2,6,15,1,36,5.13
"414","cheetah","8","four-footed animal",2,7,14,1,37,7.13
"415","jaguar","8","four-footed animal",2,6,14,5,38,7.33
"416","beaver","8","four-footed animal",2,6,13,3,39,7
"417","gazelle","8","four-footed animal",2,8,12,1,40,8.17
"418","turtle","8","four-footed animal",6,8,12,2,41,6.42
"419","elk","8","four-footed animal",1,3,11,1,42,9.2
"420","chipmunk","8","four-footed animal",2,8,9,NA,43,NA
"421","coyote","8","four-footed animal",3,6,9,NA,44,NA
"422","gnu","8","four-footed animal",1,3,9,NA,45,NA
"423","hamster","8","four-footed animal",2,7,9,NA,46,NA
"424","pony","8","four-footed animal",2,4,9,NA,47,NA
"425","anteater","8","four-footed animal",3,8,8,NA,48,NA
"426","opossum","8","four-footed animal",3,7,8,NA,49,NA
"427","puma","8","four-footed animal",2,4,7,NA,50,NA
"428","steer","8","four-footed animal",1,5,7,NA,51,NA
"429","hyena","8","four-footed animal",3,5,6,NA,52,NA
"430","ox","8","four-footed animal",1,2,6,NA,53,NA
"431","calf","8","four-footed animal",1,4,5,NA,54,NA
"432","lynx","8","four-footed animal",1,4,5,NA,55,NA
"433","rodent","8","four-footed animal",2,6,5,NA,56,NA
"434","alligator","8","four-footed animal",4,9,4,NA,57,NA
"435","ape","8","four-footed animal",1,3,4,NA,58,NA
"436","bison","8","four-footed animal",2,5,4,NA,59,NA
"437","cattle","8","four-footed animal",2,6,4,NA,60,NA
"438","dinosaur","8","four-footed animal",3,8,4,NA,61,NA
"439","groundhog","8","four-footed animal",2,9,4,NA,62,NA
"440","hog","8","four-footed animal",1,3,4,NA,63,NA
"441","lizard","8","four-footed animal",2,6,4,NA,64,NA
"442","man","8","four-footed animal",1,3,4,NA,65,NA
"443","mink","8","four-footed animal",1,4,4,NA,66,NA
"444","mountain lion","8","four-footed animal",4,12,4,NA,67,NA
"445","tapir","8","four-footed animal",2,5,4,NA,68,NA
"446","ass","8","four-footed animal",1,3,3,NA,69,NA
"447","baby","8","four-footed animal",2,4,3,NA,70,NA
"448","cougar","8","four-footed animal",2,6,3,NA,71,NA
"449","crocodile","8","four-footed animal",3,9,3,NA,72,NA
"450","frog","8","four-footed animal",1,4,3,NA,73,NA
"451","jackass","8","four-footed animal",2,7,3,NA,74,NA
"452","kangaroo","8","four-footed animal",3,8,3,NA,75,NA
"453","ocelot","8","four-footed animal",3,6,3,NA,76,NA
"454","otter","8","four-footed animal",2,5,3,NA,77,NA
"455","reindeer","8","four-footed animal",2,8,3,NA,78,NA
"456","weasel","8","four-footed animal",2,6,3,NA,79,NA
"457","aardvark","8","four-footed animal",2,8,2,NA,80,NA
"458","boar","8","four-footed animal",1,4,2,NA,81,NA
"459","bobcat","8","four-footed animal",2,6,2,NA,82,NA
"460","chimpanzee","8","four-footed animal",3,10,2,NA,83,NA
"461","gopher","8","four-footed animal",2,6,2,NA,84,NA
"462","gorilla","8","four-footed animal",3,7,2,NA,85,NA
"463","muskrat","8","four-footed animal",2,7,2,NA,86,NA
"464","platypus","8","four-footed animal",3,8,2,NA,87,NA
"465","porcupine","8","four-footed animal",3,9,2,NA,88,NA
"466","salamander","8","four-footed animal",4,10,2,NA,89,NA
"467","wild beast","8","four-footed animal",2,9,2,NA,90,NA
"468","cotton","9","kind of cloth",2,6,404,4,1,2.21
"469","wool","9","kind of cloth",1,4,347,10,2,3.29
"470","silk","9","kind of cloth",1,4,292,12,3,2.91
"471","rayon","9","kind of cloth",2,5,225,1,4,3.87
"472","nylon","9","kind of cloth",2,6,210,0,5,4.39
"473","dacron","9","kind of cloth",2,5,153,6,6,4.6
"474","linen","9","kind of cloth",2,5,142,5,7,3.15
"475","satin","9","kind of cloth",2,5,78,0,8,3.36
"476","orlon","9","kind of cloth",2,6,74,0,9,5.12
"477","madras","9","kind of cloth",2,6,32,4,10,5.57
"478","velvet","9","kind of cloth",2,6,32,0,11,4.73
"479","burlap","9","kind of cloth",2,5,29,0,12,4.65
"480","denim","9","kind of cloth",3,8,29,1,13,5.06
"481","corduroy","9","kind of cloth",2,7,27,4,14,5.88
"482","flannel","9","kind of cloth",2,6,25,0,15,5.88
"483","mohair","9","kind of cloth",2,11,19,1,16,5.07
"484","cheesecloth","9","kind of cloth",3,7,18,7,17,5.07
"485","acetate","9","kind of cloth",3,10,17,2,18,5
"486","terry cloth","9","kind of cloth",3,10,16,2,19,2.47
"487","broadcloth","9","kind of cloth",2,10,15,0,20,4.1
"488","muslin","9","kind of cloth",2,6,15,1,21,3.13
"489","jersey","9","kind of cloth",2,6,14,25,22,6
"490","tweed","9","kind of cloth",1,5,14,5,23,4.88
"491","brocade","9","kind of cloth",2,7,13,3,24,5.38
"492","seersucker","9","kind of cloth",3,10,13,1,25,6.38
"493","canvas","9","kind of cloth",2,16,12,19,26,6
"494","taffeta","9","kind of cloth",3,7,12,2,27,6.2
"495","acrilan","9","kind of cloth",3,7,11,0,28,5.29
